Vftable	Methods	Flags	Type	Hierarchy
0142057008	1		type_info	type_info: 
01420599D8	2		hkBaseObject	hkBaseObject: 
01420599F0	4		hkReferencedObject	hkReferencedObject: hkBaseObject;
0142059A18	4		hkaSkeletonMapper	hkaSkeletonMapper: hkReferencedObject, hkBaseObject;
0142059B40	4		hkaAnimationContainer	hkaAnimationContainer: hkReferencedObject, hkBaseObject;
014205A190	4		hkaSkeleton	hkaSkeleton: hkReferencedObject, hkBaseObject;
014205A500	21		hkaAnimation	hkaAnimation: hkReferencedObject, hkBaseObject;
014205A6D8	21		hkaQuantizedAnimation	hkaQuantizedAnimation: hkaAnimation, hkReferencedObject, hkBaseObject;
014205A888	4		hkaAnimationBinding	hkaAnimationBinding: hkReferencedObject, hkBaseObject;
014205AD58	21		hkaSplineCompressedAnimation	hkaSplineCompressedAnimation: hkaAnimation, hkReferencedObject, hkBaseObject;
014205B240	4		hkaAnimationPreviewColorContainer	hkaAnimationPreviewColorContainer: hkReferencedObject, hkBaseObject;
014205B2F0	4		hkaBoneAttachment	hkaBoneAttachment: hkReferencedObject, hkBaseObject;
014205B438	7		hkaDefaultAnimatedReferenceFrame	hkaDefaultAnimatedReferenceFrame: hkaAnimatedReferenceFrame, hkReferencedObject, hkBaseObject;
014205B648	4		hkaFootstepAnalysisInfoContainer	hkaFootstepAnalysisInfoContainer: hkReferencedObject, hkBaseObject;
014205B9F8	21		hkaInterleavedUncompressedAnimation	hkaInterleavedUncompressedAnimation: hkaAnimation, hkReferencedObject, hkBaseObject;
014205BD18	7		hkaParameterizedAnimationReferenceFrame	hkaParameterizedAnimationReferenceFrame: hkaDefaultAnimatedReferenceFrame, hkaAnimatedReferenceFrame, hkReferencedObject, hkBaseObject;
014205C7C8	21		hkaReferencePoseAnimation	hkaReferencePoseAnimation: hkaAnimation, hkReferencedObject, hkBaseObject;
014205D0C8	18		hkaDefaultAnimationControl	hkaDefaultAnimationControl: hkaAnimationControl, hkReferencedObject, hkBaseObject;
014205D160	4		hkaDefaultAnimationControlMapperData	hkaDefaultAnimationControlMapperData: hkReferencedObject, hkBaseObject;
014205D1C8	2		hkaAnimationControlListener	hkaAnimationControlListener: 
014205D1E0	11	M	hkaAnimatedSkeleton	hkaAnimatedSkeleton: hkReferencedObject, hkBaseObject, hkaAnimationControlListener;
014205D240	2	M	hkaAnimatedSkeleton	hkaAnimationControlListener: 
014205D380	4		hkaCcdIkSolver	hkaCcdIkSolver: hkReferencedObject, hkBaseObject;
014205D4C8	4		hkaFootPlacementIkSolver	hkaFootPlacementIkSolver: hkReferencedObject, hkBaseObject;
014205E068	9		hkaParameterizedReferenceFrame	hkaParameterizedReferenceFrame: hkaDefaultAnimatedReferenceFrame, hkaAnimatedReferenceFrame, hkReferencedObject, hkBaseObject;
014205E0B8	9		hkaAngularReferenceFrame	hkaAngularReferenceFrame: hkaParameterizedReferenceFrame, hkaDefaultAnimatedReferenceFrame, hkaAnimatedReferenceFrame, hkReferencedObject, hkBaseObject;
014205E248	9		hkaDirectionalReferenceFrame	hkaDirectionalReferenceFrame: hkaParameterizedReferenceFrame, hkaDefaultAnimatedReferenceFrame, hkaAnimatedReferenceFrame, hkReferencedObject, hkBaseObject;
014205E298	4		hkaFootstepAnalysisInfo	hkaFootstepAnalysisInfo: hkReferencedObject, hkBaseObject;
014205E2F0	4		hkaMeshBinding	hkaMeshBinding: hkReferencedObject, hkBaseObject;
014205E318	21		hkaPredictiveCompressedAnimation	hkaPredictiveCompressedAnimation: hkaAnimation, hkReferencedObject, hkBaseObject;
014205E5D0	18		hkaAnimationControl	hkaAnimationControl: hkReferencedObject, hkBaseObject;
014205E9B8	21		hkaMirroredAnimation	hkaMirroredAnimation: hkaAnimation, hkReferencedObject, hkBaseObject;
014205EC08	4		hkaMirroredSkeleton	hkaMirroredSkeleton: hkReferencedObject, hkBaseObject;
014205F588	4	M	hkReferencedObjectLock	hkReferencedObjectLock: hkReferencedObject, hkBaseObject, hkSingleton<hkReferencedObjectLock>;
014205F6B8	11		hkCrc32StreamWriter	hkCrc32StreamWriter: hkCrcStreamWriter<unsigned int,3988292384>, hkStreamWriter, hkReferencedObject, hkBaseObject;
014205F7C8	11		hkMemoryStreamReader	hkMemoryStreamReader: hkSeekableStreamReader, hkStreamReader, hkReferencedObject, hkBaseObject;
014205F828	12		hkMemoryAllocator	hkMemoryAllocator: 
014205F890	12		hkContainerTempAllocator::Allocator	struct hkContainerTempAllocator::Allocator: hkMemoryAllocator;
014205F8F8	12		hkContainerHeapAllocator::Allocator	struct hkContainerHeapAllocator::Allocator: hkMemoryAllocator;
014205F960	12		hkContainerDebugAllocator::Allocator	struct hkContainerDebugAllocator::Allocator: hkMemoryAllocator;
014205FE60	4		hkLocalFrameGroup	hkLocalFrameGroup: hkReferencedObject, hkBaseObject;
014205FE88	16		hkSimpleLocalFrame	hkSimpleLocalFrame: hkLocalFrame, hkReferencedObject, hkBaseObject;
014205FFB8	4		hkStringObject	hkStringObject: hkReferencedObject, hkBaseObject;
0142063278	4		hkMonitorStreamColorTable	struct hkMonitorStreamColorTable: hkReferencedObject, hkBaseObject;
0142063698	12		hkLifoAllocator	hkLifoAllocator: hkMemoryAllocator;
01420637B8	12		hkLeakDetectAllocator	hkLeakDetectAllocator: hkMemoryAllocator;
0142063820	12		hkMallocAllocator	hkMallocAllocator: hkMemoryAllocator;
01420639D8	21		hkMemorySystem	hkMemorySystem: 
0142063A88	5	M	hkDummySingleton	hkDummySingleton: hkReferencedObject, hkBaseObject, hkSingleton<hkDummySingleton>;
0142063B28	10	M	hkWin32FileSystem	hkWin32FileSystem: hkFileSystem, hkReferencedObject, hkBaseObject, hkSingleton<hkFileSystem>;
0142063BF0	14		hkCpuThreadPool	hkCpuThreadPool: hkThreadPool, hkReferencedObject, hkBaseObject;
01420640E8	4		hkOstream	hkOstream: hkReferencedObject, hkBaseObject;
0142064110	12		hkMemoryTrackStreamWriter	hkMemoryTrackStreamWriter: hkStreamWriter, hkReferencedObject, hkBaseObject;
0142064178	12		hkArrayStreamWriter	hkArrayStreamWriter: hkStreamWriter, hkReferencedObject, hkBaseObject;
0142064240	4		hkErrStream	hkErrStream: hkOstream, hkReferencedObject, hkBaseObject;
0142064960	4		hkOArchive	hkOArchive: hkReferencedObject, hkBaseObject;
0142064988	4		hkGeometry	struct hkGeometry: hkReferencedObject, hkBaseObject;
01420649D0	4		hkUuidObject	hkUuidObject: hkReferencedObject, hkBaseObject;
01420649F8	4	M	hkUuidPseudoRandomGenerator	hkUuidPseudoRandomGenerator: hkReferencedObject, hkBaseObject, hkSingleton<hkUuidPseudoRandomGenerator>;
0142065A08	1		hkStackTracer	hkStackTracer: 
0142065E58	4	M	hkHardwareInfo	hkHardwareInfo: hkReferencedObject, hkBaseObject, hkSingleton<hkHardwareInfo>;
0142065F30	5		`anonymous namespace'::Win32Impl	struct `anonymous namespace'::Win32Impl: struct hkFileSystem::Iterator::Impl, hkReferencedObject, hkBaseObject;
0142065FF0	13	M	hkDefaultError	hkDefaultError: hkError, hkReferencedObject, hkBaseObject, hkSingleton<hkError>;
01420660A0	9		hkSocket::ReaderAdapter	hkSocket::ReaderAdapter: hkStreamReader, hkReferencedObject, hkBaseObject;
01420660F0	11		hkSocket::WriterAdapter	hkSocket::WriterAdapter: hkStreamWriter, hkReferencedObject, hkBaseObject;
0142066150	13		hkSocket	hkSocket: hkReferencedObject, hkBaseObject;
01420661C0	10		hkMemoryAllocator::ExtendedInterface	struct hkMemoryAllocator::ExtendedInterface: 
0142066218	12		hkFixedSizeAllocator	hkFixedSizeAllocator: hkMemoryAllocator;
0142066280	13	M	hkFreeListAllocator	hkFreeListAllocator: hkMemoryAllocator, struct hkMemoryAllocator::ExtendedInterface;
01420662F0	10	M	hkFreeListAllocator	struct hkMemoryAllocator::ExtendedInterface: 
0142066388	13		hkThreadMemory	hkThreadMemory: hkMemoryAllocator;
01420663F8	21		hkFreeListMemorySystem	hkFreeListMemorySystem: hkMemorySystem;
0142066788	12		hkLargeBlockAllocator::FixedMemoryBlockServer	struct hkLargeBlockAllocator::FixedMemoryBlockServer: hkMemoryAllocator;
01420667F0	12	M	hkLargeBlockAllocator	hkLargeBlockAllocator: hkMemoryAllocator, struct hkMemoryAllocator::ExtendedInterface;
0142066858	10	M	hkLargeBlockAllocator	struct hkMemoryAllocator::ExtendedInterface: 
01420668E0	9		hkTaskQueue	hkTaskQueue: 
0142066930	3		hkTask	hkTask: 
0142066950	3		hkDefaultTaskQueue::EmptyTask	struct hkDefaultTaskQueue::EmptyTask: hkTask;
0142066970	4	M	hkDefaultTaskQueue	hkDefaultTaskQueue: hkReferencedObject, hkBaseObject, hkTaskQueue;
0142066998	9	M	hkDefaultTaskQueue	hkTaskQueue: 
0142066A40	9		hkMemoryTrackStreamReader	hkMemoryTrackStreamReader: hkStreamReader, hkReferencedObject, hkBaseObject;
0142066AA8	11		hkBufferedStreamWriter	hkBufferedStreamWriter: hkStreamWriter, hkReferencedObject, hkBaseObject;
